sheet,row,forwarder,label,predicted,expected,rule_engine_now,engine_matches_a,reason,in_stat,in_tarif,in_fr_diff,in_tz_diff,in_empf_plz,in_empf_ort,in_anz_sdg,in_av_diff,in_exp_diff,in_exp_dl,in_snk_dl,in_snk_diff,in_snk_tarif,in_maut_diff,in_dgr_diff,in_serv_art,in_sachkonto,in_zz_diff,in_referenz3,in_lg_diff
Soll-Ist-Vergleich best. Beleg,159,dachser,correct,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,true,STAT=10 | TARIF=67.92 | SNK_DL=11 | SNK_DIFF=8.75 | EXP_DL=10 | VKG_DL=62 | SERV=DA05 | SACH=612100,10,67.92,,,51519,Odenthal,1,,,10,11,8.75,2.25,,,DA05,612100,,,
Soll-Ist-Vergleich best. Beleg,160,dachser,correct,,,,true,STAT=30 | TARIF=52.81 | FR=-0.04 | VKG_DL=65 | SERV=DA01 | SACH=612100,30,52.81,-0.04,,60549,Frankfurt,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,161,dachser,correct,,,,true,STAT=30 | TARIF=103.1 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=108 | SERV=DA07 | SACH=612100,30,103.1,-0.04,-0.01,13187,Berlin,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,162,dachser,correct,,,,true,STAT=30 | TARIF=72.97 | FR=-0.02 | EXP_DL=30 | VKG_DL=44 | SERV=DA07 | SACH=612100,30,72.97,-0.02,,59939,Olsberg,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,163,dachser,correct,,,,true,STAT=30 | TARIF=92.62 | FR=0.02 | EXP_DL=10 | TZ=0.01 | VKG_DL=184 | SERV=DA05 | SACH=612100,30,92.62,0.02,0.01,33824,Werther,1,,,10,,,,,,DA05,612100,,,
Soll-Ist-Vergleich best. Beleg,164,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=37.4 | FR=0.03 | MAUT=0.18 | TZ=0.01 | VKG_DL=30 | SERV=DA01 | SACH=612100,10,37.4,0.03,0.01,86609,Donauwörth,1,,,,,,,0.18,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,165,dachser,correct,,,,true,STAT=30 | TARIF=107.03 | EXP_DL=30 | VKG_DL=168 | SERV=DA07 | SACH=612100,30,107.03,,,56589,Bürder,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,166,dachser,correct,,,,true,STAT=30 | TARIF=87.18 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=61 | SERV=DA07 | SACH=612100,30,87.18,-0.04,-0.01,45659,Recklinghausen,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,167,dachser,correct,,,,true,STAT=30 | TARIF=87.18 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=53 | SERV=DA07 | SACH=612100,30,87.18,-0.04,-0.01,01169,Dresden,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,168,dachser,correct,Differenz Telefonische Zustellankündigung - Laderaumzuschlag // Mautdifferenz,Differenz Telefonische Zustellankündigung - Laderaumzuschlag // Mautdifferenz,Differenz Telefonische Zustellankündigung - Laderaumzuschlag // Mautdifferenz,true,STAT=10 | TARIF=48.83 | FR=0.05 | SNK_DL=11 | SNK_DIFF=9.43 | EXP_DL=10 | MAUT=0.18 | TZ=0.01 | VKG_DL=38 | SERV=DA02 | SACH=612100,10,48.83,0.05,0.01,72488,Sigmaringen,1,,,10,11,9.43,1.57,0.18,,DA02,612100,,,
Soll-Ist-Vergleich best. Beleg,169,dachser,correct,,,,true,STAT=30 | TARIF=42.37 | FR=-0.01 | VKG_DL=38 | SERV=DA01 | SACH=612100,30,42.37,-0.01,,50968,Köln,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,170,dachser,correct,,,,true,STAT=30 | TARIF=87.18 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=71 | REF3=ZW | SERV=DA07 | SACH=612100,30,87.18,-0.04,-0.01,30659,Hannover,1,,,30,,,,,,DA07,612100,,ZW,
Soll-Ist-Vergleich best. Beleg,171,dachser,correct,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,Differenz Telefonische Zustellankündigung - Laderaumzuschlag,true,STAT=10 | TARIF=87.92 | SNK_DL=11 | SNK_DIFF=8.75 | EXP_DL=30 | VKG_DL=51 | SERV=DA07 | SACH=612100,10,87.92,,,50933,Köln,1,,,30,11,8.75,2.25,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,172,dachser,correct,,,,true,STAT=30 | TARIF=58.39 | FR=0.02 | TZ=0.01 | VKG_DL=53 | SERV=DA01 | SACH=612100,30,58.39,0.02,0.01,49835,Wietmarschen,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,173,dachser,correct,,,,true,STAT=30 | TARIF=116.13 | FR=-0.01 | EXP_DL=30 | VKG_DL=276 | SERV=DA07 | SACH=612100,30,116.13,-0.01,,76137,Karlsruhe,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,174,dachser,correct,,,,true,STAT=30 | TARIF=90 | FR=0.05 | EXP_DL=30 | TZ=0.01 | VKG_DL=84 | SERV=DA07 | SACH=612100,30,90,0.05,0.01,10589,Berlin,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,175,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=67.26 | FR=0.05 | EXP_DL=30 | MAUT=0.18 | TZ=0.01 | VKG_DL=38 | SERV=DA07 | SACH=612100,10,67.26,0.05,0.01,72108,Rottenburg,1,,,30,,,,0.18,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,176,dachser,correct,,,,true,STAT=30 | TARIF=85.12 | EXP_DL=30 | VKG_DL=60 | SERV=DA07 | SACH=612100,30,85.12,,,99084,Erfurt,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,177,dachser,correct,,,,true,STAT=30 | TARIF=39.76 | FR=-0.04 | TZ=-0.01 | VKG_DL=30 | SERV=DA01 | SACH=612100,30,39.76,-0.04,-0.01,95448,Bayreuth,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,178,dachser,correct,,,,true,STAT=30 | TARIF=53.4 | FR=-0.04 | VKG_DL=89 | SERV=DA01 | SACH=612100,30,53.4,-0.04,,94124,Büchlberg,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,179,dachser,correct,,,,true,STAT=30 | TARIF=49.96 | FR=-0.01 | VKG_DL=51 | SERV=DA01 | SACH=612100,30,49.96,-0.01,,92224,Amberg,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,180,dachser,correct,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag // Mautdifferenz,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag // Mautdifferenz,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag // Mautdifferenz,true,STAT=10 | TARIF=60.74 | FR=0.03 | SNK_DL=9 | SNK_DIFF=6.6 | MAUT=0.93 | TZ=0.01 | VKG_DL=108 | SERV=DA01 | SACH=612100,10,60.74,0.03,0.01,90491,Nürnberg,1,,,,9,6.6,2.4,0.93,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,181,dachser,correct,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,true,STAT=10 | TARIF=65.52 | FR=0.04 | SNK_DL=9 | SNK_DIFF=6.44 | TZ=0.01 | VKG_DL=170 | SERV=DA01 | SACH=612100,10,65.52,0.04,0.01,88605,Meßkirch,1,,,,9,6.44,2.56,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,182,dachser,correct,,,,true,STAT=30 | TARIF=37.62 | VKG_DL=42 | SERV=DA01 | SACH=612100,30,37.62,,,85235,Odelzhausen,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,183,dachser,correct,,,,true,STAT=30 | TARIF=38.08 | FR=0.05 | TZ=0.01 | VKG_DL=62 | SERV=DA01 | SACH=612100,30,38.08,0.05,0.01,73235,Kaltenwanghof/Weilheim,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,184,dachser,correct,,,,true,STAT=30 | TARIF=95.33 | FR=-0.02 | EXP_DL=30 | TZ=-0.01 | VKG_DL=135 | REF3=ZW | SERV=DA07 | SACH=612100,30,95.33,-0.02,-0.01,66111,Saarbrücken,1,,,30,,,,,,DA07,612100,,ZW,
Soll-Ist-Vergleich best. Beleg,185,dachser,correct,,,,true,STAT=30 | TARIF=105.66 | EXP_DL=30 | VKG_DL=191 | SERV=DA04 | SACH=612100,30,105.66,,,60313,Frankfurt am Main,1,,,30,,,,,,DA04,612100,,,
Soll-Ist-Vergleich best. Beleg,186,dachser,correct,,,,true,STAT=30 | TARIF=70.04 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=38 | SERV=DA07 | SACH=612100,30,70.04,-0.04,-0.01,56566,Neuwied,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,187,dachser,correct,,,,true,STAT=30 | TARIF=43.91 | FR=-0.04 | TZ=-0.01 | VKG_DL=38 | SERV=DA01 | SACH=612100,30,43.91,-0.04,-0.01,49176,Hilter,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,188,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=69.9 | MAUT=0.99 | VKG_DL=147 | SERV=DA01 | SACH=612100,10,69.9,,,44309,Dortmund,1,,,,,,,0.99,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,189,dachser,correct,,,,true,STAT=30 | TARIF=72.97 | FR=-0.02 | EXP_DL=30 | VKG_DL=38 | SERV=DA07 | SACH=612100,30,72.97,-0.02,,40699,Erkrath,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,190,dachser,correct,,,,true,STAT=30 | TARIF=57.81 | FR=0.02 | TZ=0.01 | VKG_DL=64 | SERV=DA01 | SACH=612100,30,57.81,0.02,0.01,29399,Wahrenholz,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,191,dachser,correct,,,,true,STAT=30 | TARIF=45.66 | FR=0.02 | TZ=0.01 | VKG_DL=40 | SERV=DA01 | SACH=612100,30,45.66,0.02,0.01,19288,Ludwigslust,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,192,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=73.76 | FR=0.02 | EXP_DL=30 | MAUT=2.16 | TZ=0.01 | VKG_DL=39 | SERV=DA07 | SACH=612100,10,73.76,0.02,0.01,18374,Ostseebad Zingst am Darß,1,,,30,,,,2.16,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,193,dachser,correct,,,,true,STAT=30 | TARIF=75.41 | FR=0.02 | EXP_DL=30 | TZ=0.01 | VKG_DL=38 | SERV=DA07 | SACH=612100,30,75.41,0.02,0.01,10707,Berlin,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,194,dachser,correct,,,,true,STAT=30 | TARIF=75.54 | VKG_DL=160,30,75.54,,,45128,ESSEN,1,,,,,,,,,,,,,
Soll-Ist-Vergleich best. Beleg,195,dachser,correct,,,,true,STAT=30 | TARIF=115.93 | FR=0.05 | TZ=0.01 | VKG_DL=339 | SERV=DA01 | SACH=612100,30,115.93,0.05,0.01,50668,Köln,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,196,dachser,correct,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,true,STAT=10 | TARIF=45.99 | FR=-0.04 | SNK_DL=9 | SNK_DIFF=7.2 | TZ=-0.01 | VKG_DL=30 | SERV=DA01 | SACH=612100,10,45.99,-0.04,-0.01,29699,Walsrode,1,,,,9,7.2,1.8,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,197,dachser,correct,,,,true,STAT=30 | TARIF=58.39 | FR=0.02 | TZ=0.01 | VKG_DL=53 | SERV=DA01 | SACH=612100,30,58.39,0.02,0.01,12489,Berlin,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,198,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=86.54 | FR=-0.04 | EXP_DL=30 | MAUT=0.64 | TZ=-0.01 | VKG_DL=53 | SERV=DA07 | SACH=612100,10,86.54,-0.04,-0.01,44319,Dortmund,1,,,30,,,,0.64,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,199,dachser,correct,,,,true,STAT=30 | TARIF=57.48 | FR=0.03 | TZ=0.01 | VKG_DL=104 | SERV=DA01 | SACH=612100,30,57.48,0.03,0.01,86368,Gersthofen,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,200,dachser,correct,,,,true,STAT=30 | TARIF=99.9 | EXP_DL=30 | VKG_DL=139 | SERV=DA07 | SACH=612100,30,99.9,,,53115,Bonn,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,201,dachser,correct,,,,true,STAT=30 | TARIF=55.67 | VKG_DL=66 | SERV=DA01 | SACH=612100,30,55.67,,,50676,Köln,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,202,dachser,correct,,,,true,STAT=30 | TARIF=60.52 | FR=-0.02 | VKG_DL=110 | SERV=DA01 | SACH=612100,30,60.52,-0.02,,80333,München,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,203,dachser,correct,,,,true,STAT=30 | TARIF=61.78 | FR=0.04 | TZ=0.01 | VKG_DL=198 | SERV=DA01 | SACH=612100,30,61.78,0.04,0.01,70178,Stuttgart,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,204,dachser,correct,Mautdifferenz // Differenz aufgrund von abweichendem Gewicht,Mautdifferenz // Differenz aufgrund von abweichendem Gewicht,Mautdifferenz // Differenz aufgrund von abweichendem Gewicht,true,STAT=10 | TARIF=105.66 | FR=17.6 | EXP_DL=30 | MAUT=2.3 | TZ=3.08 | VKG_DL=253 | SERV=DA07 | SACH=612100,10,105.66,17.6,3.08,60327,Frankfurt,1,,,30,,,,2.3,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,205,dachser,correct,,,,true,STAT=30 | TARIF=37.26 | FR=0.05 | TZ=0.01 | VKG_DL=45 | SERV=DA01 | SACH=612110,30,37.26,0.05,0.01,71642,Ludwigsburg,1,,,,,,,,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,206,dachser,correct,,,,true,STAT=30 | TARIF=83.4 | FR=-0.04 | EXP_DL=30 | VKG_DL=93 | SERV=DA04 | SACH=612100,30,83.4,-0.04,,35447,Reiskirchen,1,,,30,,,,,,DA04,612100,,,
Soll-Ist-Vergleich best. Beleg,207,dachser,correct,,,,true,STAT=30 | TARIF=45.95 | FR=-0.03 | VKG_DL=75 | SERV=DA01 | SACH=612110,30,45.95,-0.03,,88214,Ravensburg,1,,,,,,,,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,208,dachser,correct,,,,true,STAT=30 | TARIF=98.59 | FR=0.04 | TZ=0.01 | VKG_DL=262 | SERV=DA01 | SACH=612100,30,98.59,0.04,0.01,60486,Frankfurt,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,209,dachser,correct,,,,true,STAT=30 | TARIF=77.88 | FR=0.03 | EXP_DL=30 | TZ=0.01 | VKG_DL=54 | SERV=DA07 | SACH=612100,30,77.88,0.03,0.01,76187,Karlsruhe,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,210,dachser,correct,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,true,STAT=10 | TARIF=79.87 | FR=0.03 | SNK_DL=9 | SNK_DIFF=7.01 | EXP_DL=30 | TZ=0.01 | VKG_DL=98 | SERV=DA07 | SACH=612100,10,79.87,0.03,0.01,87660,Irsee,1,,,30,9,7.01,1.99,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,211,dachser,correct,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,true,STAT=10 | TARIF=41.7 | FR=-0.04 | SNK_DL=9 | SNK_DIFF=7.34 | TZ=-0.01 | VKG_DL=30 | SERV=DA01 | SACH=612100,10,41.7,-0.04,-0.01,56841,Traben-Trarbach,1,,,,9,7.34,1.66,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,212,dachser,correct,,,,true,STAT=30 | TARIF=56.54 | FR=-0.04 | TZ=-0.01 | VKG_DL=52 | SERV=DA01 | SACH=612100,30,56.54,-0.04,-0.01,40589,Düsseldorf,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,213,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=37.58 | FR=0.03 | MAUT=0.33 | TZ=0.01 | VKG_DL=30 | SERV=DA01 | SACH=612100,10,37.58,0.03,0.01,90763,Fürth,1,,,,,,,0.33,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,214,dachser,correct,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,true,STAT=10 | TARIF=47.77 | FR=0.02 | SNK_DL=9 | SNK_DIFF=7.15 | TZ=0.01 | VKG_DL=30 | SERV=DA01 | SACH=612100,10,47.77,0.02,0.01,24148,Kiel,1,,,,9,7.15,1.85,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,215,dachser,correct,,,,true,STAT=30 | TARIF=37.62 | VKG_DL=50 | SERV=DA01 | SACH=612100,30,37.62,,,82234,Weßling,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,216,dachser,correct,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,true,STAT=10 | TARIF=55.07 | FR=-0.02 | SNK_DL=9 | SNK_DIFF=7.23 | EXP_DL=10 | VKG_DL=22 | SERV=DA05 | SACH=612100,10,55.07,-0.02,,30163,Hannover,1,,,10,9,7.23,1.77,,,DA05,612100,,,
Soll-Ist-Vergleich best. Beleg,217,dachser,correct,,,,true,STAT=30 | TARIF=70.04 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=40 | SERV=DA07 | SACH=612100,30,70.04,-0.04,-0.01,56218,Mülheim-Kärlich,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,218,dachser,correct,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,true,STAT=10 | TARIF=63.57 | FR=0.05 | SNK_DL=9 | SNK_DIFF=6.62 | TZ=0.01 | VKG_DL=51 | SERV=DA01 | SACH=612100,10,63.57,0.05,0.01,17033,Neubrandenburg,1,,,,9,6.62,2.38,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,219,dachser,correct,,,,true,STAT=30 | TARIF=104.45 | FR=0.01 | EXP_DL=30 | VKG_DL=103 | SERV=DA07 | SACH=612100,30,104.45,0.01,,10557,Berlin,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,220,dachser,correct,,,,true,STAT=30 | TARIF=87.18 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=74 | SERV=DA04 | SACH=612100,30,87.18,-0.04,-0.01,31789,Hameln,1,,,30,,,,,,DA04,612100,,,
Soll-Ist-Vergleich best. Beleg,221,dachser,correct,,,,true,STAT=30 | TARIF=105.66 | EXP_DL=30 | VKG_DL=163 | SERV=DA07 | SACH=612100,30,105.66,,,60327,Frankfurt,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,222,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=37.62 | MAUT=0.33 | VKG_DL=39 | SERV=DA01 | SACH=612100,10,37.62,,,79331,Teningen,1,,,,,,,0.33,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,223,dachser,correct,,,,true,STAT=30 | TARIF=37.58 | FR=0.03 | TZ=0.01 | VKG_DL=40 | SERV=DA01 | SACH=612100,30,37.58,0.03,0.01,76863,Herxheim,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,224,dachser,correct,2. Zustellung,2. Zustellung,2. Zustellung,true,STAT=10 | TARIF=86.58 | FR=0.05 | ZZ=60 | TZ=0.01 | VKG_DL=188 | SERV=DA01 | SACH=612100,10,86.58,0.05,0.01,14195,Berlin,1,,,,,,,,,DA01,612100,60,,
Soll-Ist-Vergleich best. Beleg,225,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=45.46 | FR=-0.03 | MAUT=0.49 | VKG_DL=76 | SERV=DA01 | SACH=612100,10,45.46,-0.03,,74564,Crailsheim,1,,,,,,,0.49,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,226,dachser,correct,,,,true,STAT=30 | TARIF=43.8 | FR=-0.02 | TZ=-0.01 | VKG_DL=125 | SERV=DA01 | SACH=612100,30,43.8,-0.02,-0.01,89188,Merklingen,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,227,dachser,correct,Mautdifferenz,Mautdifferenz,Mautdifferenz,true,STAT=10 | TARIF=40.04 | FR=-0.04 | MAUT=-0.28 | TZ=-0.01 | VKG_DL=50 | SERV=DA01 | SACH=612100,10,40.04,-0.04,-0.01,94469,Deggendorf,1,,,,,,,-0.28,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,228,dachser,correct,,,,true,STAT=30 | TARIF=67.26 | FR=0.05 | EXP_DL=30 | TZ=0.01 | VKG_DL=40 | SERV=DA07 | SACH=612100,30,67.26,0.05,0.01,72555,Metzingen,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,229,dachser,correct,,,,true,STAT=30 | TARIF=68.27 | FR=-0.02 | VKG_DL=215 | SERV=DA01 | SACH=612100,30,68.27,-0.02,,71522,Backnang,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,230,dachser,correct,,,,true,STAT=30 | TARIF=69.76 | FR=-0.04 | EXP_DL=30 | TZ=-0.01 | VKG_DL=38 | SERV=DA07 | SACH=612100,30,69.76,-0.04,-0.01,55543,Bad Kreuznach,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,231,dachser,correct,,,,true,STAT=30 | TARIF=45.92 | FR=0.02 | TZ=0.01 | VKG_DL=38 | SERV=DA01 | SACH=612100,30,45.92,0.02,0.01,25870,Oldenswort,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,232,dachser,correct,,,,true,STAT=30 | TARIF=75.66 | FR=0.02 | EXP_DL=30 | TZ=0.01 | VKG_DL=25 | SERV=DA07 | SACH=612100,30,75.66,0.02,0.01,23795,Bad Segeberg,1,,,30,,,,,,DA07,612100,,,
Soll-Ist-Vergleich best. Beleg,233,dachser,correct,,,,true,STAT=30 | TARIF=45.92 | FR=0.02 | TZ=0.01 | VKG_DL=30 | SERV=DA01 | SACH=612110,30,45.92,0.02,0.01,18182,Rövershagen,1,,,,,,,,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,234,dachser,correct,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,Differenz Telefonische Zustellterminvereinbarung - Laderaumzuschlag,true,STAT=10 | TARIF=62.38 | FR=0.05 | SNK_DL=9 | SNK_DIFF=6.62 | TZ=0.01 | VKG_DL=62 | SERV=DA01 | SACH=612100,10,62.38,0.05,0.01,10405,Berlin,1,,,,9,6.62,2.38,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,235,dachser,correct,2. Zustellung,2. Zustellung,2. Zustellung,true,STAT=10 | TARIF=43.3 | FR=-0.02 | ZZ=35 | VKG_DL=38 | SERV=DA01 | SACH=612100,10,43.3,-0.02,,30855,Langenhagen,1,,,,,,,,,DA01,612100,35,,
Soll-Ist-Vergleich best. Beleg,236,dachser,correct,,,,true,STAT=30 | TARIF=45.66 | FR=0.02 | TZ=0.01 | VKG_DL=36 | SERV=DA01 | SACH=612100,30,45.66,0.02,0.01,26639,Wiesmoor,1,,,,,,,,,DA01,612100,,,
Soll-Ist-Vergleich best. Beleg,237,dachser,correct,,,,true,STAT=30 | TARIF=37.26 | FR=0.05 | TZ=0.01 | VKG_DL=48 | SERV=DA01 | SACH=612110,30,37.26,0.05,0.01,88471,Laupheim,1,,,,,,,,,DA01,612110,,,
Soll-Ist-Vergleich best. Beleg,238,dachser,correct,,,,true,STAT=30 | TARIF=55.12 | VKG_DL=53 | SERV=DA01 | SACH=612100,30,55.12,,,54340,Klüsserath,1,,,,,,,,,DA01,612100,,,
